Duration,Pulse,Maxpulse,Calories,Pulse3
60,110,130,409.1,25.75
60,117,145,479.0,25.75
60,103,135,340.0,25.75
45,109,175,282.4,25.75
45,117,148,406.0,25.75
60,102,127,300.0,25.75
60,110,136,374.0,25.75
45,104,134,253.3,25.75
30,109,133,195.1,25.75
60,98,124,269.0,25.75
60,103,147,329.3,25.75
60,100,120,250.7,25.75
60,106,128,345.3,25.75
60,104,132,379.3,25.75
60,98,123,275.0,25.75
60,98,120,215.2,25.75
60,100,120,300.0,25.75
45,90,112,,25.75
60,103,123,323.0,25.75
45,97,125,243.0,25.75
60,108,131,364.2,25.75
45,100,119,282.0,25.75
60,130,101,300.0,25.75
45,105,132,246.0,25.75
60,102,126,334.5,25.75
60,100,120,250.0,25.75
60,92,118,241.0,25.75
60,103,132,,25.75
